Device Name,Device ID,Date & Time [GMT],Date & Time [Local],Latitude,Longitude,Altitude,Fix Status,DOP,Temp [C],Main [V],Back [V]
LPB 762-B,42554,12/20/2016 2:00,12/19/2016 18:00,39.4549094,-122.967575,531.26,3D-V Fix,3,4,3.44,3.52
LPB 762-B,42554,12/20/2016 15:02,12/20/2016 7:02,39.4492444,-122.9660381,527.66,3D-V Fix,2,4,3.36,3.52
LPB 762-B,42554,12/21/2016 4:01,12/20/2016 20:01,39.4494536,-122.9747656,622.19,3D-V Fix,3.8,13,3.44,3.6
LPB 762-B,42554,12/21/2016 17:01,12/21/2016 9:01,39.4498367,-122.9730547,570.5,3D-V Fix,2.8,5,3.44,3.52
LPB 762-B,42554,12/22/2016 6:01,12/21/2016 22:01,,,,No Sats,25.4,4,3.36,3.52
LPB 762-B,42554,12/22/2016 19:01,12/22/2016 11:01,39.45043,-122.9653592,531.34,3D-V Fix,1.6,9,3.44,3.52
LPB 762-B,42554,12/23/2016 8:02,12/23/2016 0:02,39.4469428,-122.9652181,529.75,3D-V Fix,2.6,8,3.44,3.52
LPB 762-B,42554,12/23/2016 21:00,12/23/2016 13:00,39.4505933,-122.9644494,536.05,3D-V Fix,2.2,7,3.44,3.52
LPB 762-B,42554,12/24/2016 10:01,12/24/2016 2:01,39.4486283,-122.9665158,536.8,3D-V Fix,2.6,3,3.44,3.52
LPB 762-B,42554,12/24/2016 23:01,12/24/2016 15:01,,,,No Sats,25.4,10,3.44,3.52
LPB 762-B,42554,12/25/2016 12:00,12/25/2016 4:00,39.4430933,-122.9628667,525.15,3D-V Fix,2.2,4,3.44,3.52
LPB 762-B,42554,12/26/2016 1:03,12/25/2016 17:03,39.446095,-122.9640825,526.11,3D-V Fix,2.2,9,3.44,3.52
LPB 762-B,42554,12/26/2016 14:01,12/26/2016 6:01,39.4503461,-122.9657231,520.64,3D-V Fix,1.6,1,3.36,3.52
LPB 762-B,42554,12/27/2016 3:01,12/26/2016 19:01,39.4547122,-122.9663728,538.99,3D-V Fix,3.4,1,3.36,3.52
LPB 762-B,42554,12/27/2016 16:01,12/27/2016 8:01,39.4540961,-122.9668681,530.85,3D-V Fix,5.4,2,3.44,3.52
LPB 762-B,42554,12/28/2016 5:01,12/27/2016 21:01,39.4523611,-122.9671344,533.59,3D-V Fix,3.6,4,3.44,3.52
LPB 762-B,42554,12/28/2016 18:01,12/28/2016 10:01,,,,No Sats,25.4,6,3.36,3.52
LPB 762-B,42554,12/29/2016 7:02,12/28/2016 23:02,39.4541783,-122.9671294,543.37,3D-V Fix,3.4,1,3.44,3.52
LPB 762-B,42554,12/29/2016 20:00,12/29/2016 12:00,39.4521372,-122.9640917,533.92,3D-V Fix,3.4,15,3.44,3.52
LPB 762-B,42554,12/30/2016 9:01,12/30/2016 1:01,39.4498661,-122.9659519,535.03,3D-V Fix,4.8,3,3.44,3.52
LPB 762-B,42554,12/30/2016 22:00,12/30/2016 14:00,39.4496753,-122.9629347,534.05,3D-V Fix,2.8,23,3.52,3.6
LPB 762-B,42554,12/31/2016 11:00,12/31/2016 3:00,39.4528733,-122.9657211,535.31,3D-V Fix,3.4,4,3.44,3.52
LPB 762-B,42554,1/1/2017 0:01,12/31/2016 16:01,,,,No Sats,25.4,12,3.44,3.6
LPB 762-B,42554,1/1/2017 13:01,1/1/2017 5:01,39.4468186,-122.9660508,532.33,3D-V Fix,3.2,5,3.44,3.52
LPB 762-B,42554,1/2/2017 2:02,1/1/2017 18:02,39.4495517,-122.9659833,527.09,2D Fix,2.2,7,3.44,3.52
LPB 762-B,42554,1/2/2017 15:01,1/2/2017 7:01,,,,No Sats,25.4,4,3.44,3.52
LPB 762-B,42554,1/3/2017 4:00,1/2/2017 20:00,39.4476397,-122.9660292,530.14,3D-V Fix,3.4,4,3.44,3.52
LPB 762-B,42554,1/3/2017 17:01,1/3/2017 9:01,39.4538875,-122.9673211,529.1,3D-V Fix,3.8,5,3.44,3.52
