collection_year,collection_month,collection_day,recorder,crew,lat,lon,Station,site_number,tow_number,region,weather,tide_dir,tide_speed,tide_previous,tide_next,temp,spcnd,do,turb,trawl_type,gear_in,DS,TFS
2017,01,24,BM,AH,38.04702,-121.92477,HB52,2,5,hdlr,clear,flood,1.48,0754,1412,9.1,100.3,10.6,145.0,SKT,1025,8,0
2017,01,06,BM,AH,38.02221,-121.81134,LSR13,1,2,hdlr,clear,flood,1.78,0506,1130,8.2,148.7,9.6,53.5,SKT,0842,3,9
2017,01,06,BM,AH,38.02171,-121.81096,LSR13,1,1,hdlr,cloudy,flood,1.78,0506,1130,8.2,59.3,9.3,50.4,SKT,0823,2,13
2017,02,09,AH,AH,38.09514,-122.03308,SBM62,2,3,hdlr,rain,flood,4.48,0729,1305,11.5,106.0,12.8,79.2,SKT,1031,1,0
2017,01,24,BM,AH,38.08427,-121.98706,SBM53,1,4,hdlr,clear,flood,1.48,0754,1412,9.0,121.9,10.6,142.0,SKT,0857,1,0
2017,01,06,BM,AH,38.04266,-121.91184,HB6,2,4,hdlr,clear,flood,1.78,0506,1130,8.2,160.0,9.3,67.8,SKT,1014,1,3
2017,02,09,AH,AH,38.09574,-122.0312,SBM62,2,1,hdlr,cloudy,flood,4.48,0729,1305,11.4,110.3,12.9,94.8,SKT,0958,0,0
2017,02,09,AH,AH,38.09349,-122.02573,SBM62,2,2,hdlr,rain,flood,4.48,0729,1305,11.6,114.8,12.9,77.7,SKT,1009,0,0
2017,01,24,BM,AH,38.08351,-121.99451,SBM53,1,1,hdlr,cloudy,flood,1.48,0754,1412,9.0,122.9,10.7,118.0,SKT,0822,0,0
2017,01,24,BM,AH,38.08288,-121.99289,SBM53,1,2,hdlr,cloudy,flood,1.48,0754,1412,9.0,126.2,11.0,123.0,SKT,0833,0,0
2017,01,24,BM,AH,38.08414,-121.98981,SBM53,1,3,hdlr,cloudy,flood,1.48,0754,1412,9.0,127.7,10.9,151.0,SKT,0844,0,0
2017,02,09,AH,AH,38.07937,-121.98227,SBM60,1,2,hdlr,cloudy,flood,4.48,0729,1305,11.5,101.8,12.9,100.0,SKT,0831,0,0
2017,02,09,AH,AH,38.07962,-121.98188,SBM60,1,1,hdlr,cloudy,flood,4.48,0729,1305,11.5,99.4,13.2,84.6,SKT,0821,0,0
2017,02,09,AH,AH,38.07902,-121.98148,SBM60,1,3,hdlr,cloudy,flood,4.48,0729,1305,11.6,110.1,12.8,103.0,SKT,0852,0,0
2017,02,09,AH,AH,38.07826,-121.98073,SBM60,1,4,hdlr,cloudy,flood,4.48,0729,1305,11.9,111.5,12.6,115.0,SKT,0904,0,0
2017,02,09,AH,AH,38.07772,-121.98037,SBM60,1,5,hdlr,cloudy,flood,4.48,0729,1305,11.9,113.3,12.5,114.0,SKT,0916,0,0
2017,01,03,BM,AH,38.073,-121.958,HB4,2,2,hdlr,rain,ebb,-1.37,0924,1448,8.1,171.0,10.4,70.8,SKT,0959,0,0
2017,01,03,BM,AH,38.075,-121.93096,HB4,2,1,hdlr,rain,ebb,-1.37,0924,1448,8.0,166.0,10.6,80.0,SKT,0939,0,2
2017,01,24,BM,AH,38.04789,-121.93053,HB52,2,1,hdlr,clear,flood,1.48,0754,1412,9.1,96.2,10.9,149.0,SKT,0932,0,0
2017,01,03,BM,AH,38.04771,-121.9304,HB5,1,1,hdlr,rain,flood,1.72,0254,0924,8.1,188.0,10.7,46.8,SKT,0808,0,2
2017,01,03,BM,AH,38.04771,-121.9304,HB5,1,2,hdlr,rain,flood,1.72,0254,0924,8.1,140.0,10.5,51.2,SKT,0828,0,0
2017,01,24,BM,AH,38.04726,-121.92715,HB52,2,2,hdlr,clear,flood,1.48,0754,1412,9.1,97.0,10.8,144.0,SKT,0944,0,0
2017,01,06,BM,AH,38.04152,-121.90814,HB6,2,1,hdlr,clear,flood,1.78,0506,1130,8.2,127.2,9.6,59.9,SKT,0937,0,1
2017,01,03,BM,AH,38.08965,-121.73767,RV3,3,1,hdlr,rain,ebb,-1.37,0924,1448,8.3,85.5,10.6,41.6,SKT,1136,0,0
2017,01,03,BM,AH,38.08904,-121.73724,RV3,3,2,hdlr,rain,ebb,-1.37,0924,1448,8.2,105.4,10.3,29.3,SKT,1203,0,1
2017,01,03,BM,AH,38.08970,-121.73715,RV3,3,4,hdlr,rain,ebb,-1.37,0924,1448,8.3,102.7,10.4,30.5,SKT,1227,0,0
2017,01,03,BM,AH,38.08941,-121.73661,RV3,3,3,hdlr,rain,ebb,-1.37,0924,1448,8.3,61.9,10.5,32.4,SKT,1217,0,0
2017,01,24,BM,AH,38.12889,-121.69178,RV51,3,1,hdlr,cloudy,flood,1.48,0754,1412,8.9,77.5,10.9,112.0,SKT,1136,0,0
2017,01,24,BM,AH,38.12936,-121.69128,RV51,3,2,hdlr,cloudy,flood,1.48,0754,1412,8.9,77.9,11.1,124.0,SKT,1147,0,0
2017,01,24,BM,AH,38.13014,-121.69082,RV51,3,3,hdlr,cloudy,flood,1.48,0754,1412,8.9,76.2,11.2,119.0,SKT,1158,0,0
2017,01,24,BM,AH,38.13056,-121.69035,RV51,3,4,hdlr,cloudy,flood,1.48,0754,1412,8.9,76.7,11.2,118.0,SKT,1208,0,0
2017,02,09,AH,AH,38.13106,-121.68974,RV51,3,5,hdlr,cloudy,flood,1.48,0754,1412,9.0,77.2,11.2,126.0,SKT,1220,0,0
